annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
1013,507,gpt-4o-2024-08-06,reply,@cwebbonline @DavidYankovich And they think Donald Trump is more sympathetic to their cause?,8,2026-03-16 17:11:17,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1014,507,gpt-4o-2024-08-06,reply,@cwebbonline @DavidYankovich And they think Donald Trump is more sympathetic to their cause?,8,2026-03-16 17:11:22,20260316_1530,1,No partisan name-calling or emotional language present.,1,No endorsement of norm-violating conduct or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No rejection of cross-party cooperation or emotional language present.,1,No generalized interpersonal suspicion or emotional language present.,1,No outparty avoidance or emotional language present.,1,No partisan distortion of factual claims or emotional language present.,B
1015,508,gpt-4o-2024-08-06,reply,@MayoIsSpicyy Let’s put the last nail on maga’s coffin November 5th!,11,2026-03-16 17:11:27,20260316_1530,2,The phrase 'maga's coffin' suggests emotion or exaggeration.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The phrase 'maga's coffin' suggests emotion or exaggeration.,1,No general social distrust is evident.,2,The phrase 'maga's coffin' suggests terms that increase distance.,1,No biased evaluation of politicized facts is evident.,A
1016,508,gpt-4o-2024-08-06,reply,@MayoIsSpicyy Let’s put the last nail on maga’s coffin November 5th!,9,2026-03-16 17:11:32,20260316_1530,2,Emotion or exaggeration with 'last nail on maga’s coffin'.,1,No support for undemocratic practices or name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No name-calling or terms that reduce trust.,1,No name-calling or terms that reduce trust.,1,No terms that increase distrust or events that damage communities.,1,No partisan distortion of factual claims.,B
1017,509,gpt-4o-2024-08-06,tweet,"I realize I have a lot of new followers since my viral Tim Walz video yesterday. 

As an FYI, I do not automatically follow back all followers. 

Feel free to leave a comment if it is important to you that I follow your account.

NOTE: I am #Trump2024 and #DeSantis2028.",8,2026-03-16 17:11:37,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1018,509,gpt-4o-2024-08-06,tweet,"I realize I have a lot of new followers since my viral Tim Walz video yesterday. 

As an FYI, I do not automatically follow back all followers. 

Feel free to leave a comment if it is important to you that I follow your account.

NOTE: I am #Trump2024 and #DeSantis2028.",8,2026-03-16 17:11:42,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No endorsement of norm-violating conduct or undemocratic practices.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates is expressed.,1,No rejection of cross-party cooperation is evident.,1,No generalized interpersonal suspicion is present.,1,No preference for limiting contact with opposing party members.,1,No distortion of factual claims or partisan stance on controversial issues.,B
1019,510,gpt-4o-2024-08-06,reply,@USA_Polling MAGA gave it up when they switched to Trump flags.,9,2026-03-16 17:11:47,20260316_1530,2,"The term 'MAGA' is used in a derogatory manner, indicating partisan name-calling.",1,There is no support for undemocratic practices or related exaggeration.,1,There is no support for partisan violence or related exaggeration.,1,There is no support for undemocratic candidates or related exaggeration.,1,There is no opposition to bipartisanship or related exaggeration.,1,There is no social distrust or related exaggeration.,1,There is no social distance or related exaggeration.,1,There is no biased evaluation of politicized facts or related exaggeration.,A
1020,510,gpt-4o-2024-08-06,reply,@USA_Polling MAGA gave it up when they switched to Trump flags.,12,2026-03-16 17:11:52,20260316_1530,2,"The tweet uses 'MAGA' in a derogatory context, indicating partisan name-calling.",1,There is no endorsement of norm-violating conduct or related language.,1,There is no support for partisan violence or related language.,1,There is no mention of support for authoritarian candidates.,2,"The tweet uses partisan name-calling, reducing trust.",2,"The tweet uses partisan name-calling, indicating reduced trust.",2,The tweet uses language that increases distrust and distance.,1,There is no distortion of factual claims or related language.,B
1021,511,gpt-4o-2024-08-06,quote,LOL — the RNC took only 6 months to do a 180º https://t.co/NfJfMqXo44,8,2026-03-16 17:11:58,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
1022,511,gpt-4o-2024-08-06,quote,LOL — the RNC took only 6 months to do a 180º https://t.co/NfJfMqXo44,8,2026-03-16 17:12:03,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No name-calling or emotional language present.,1,No name-calling or emotional language present.,1,No terms that increase distrust or emotional language present.,1,No partisan distortion of factual claims or emotional language present.,B
1023,512,gpt-4o-2024-08-06,reply,"@akafacehots Donald Trump is a serial rapist, you inbred klansman.",15,2026-03-16 17:12:08,20260316_1530,3,Partisan name-calling ('inbred klansman') and emotion/exaggeration ('serial rapist').,2,Partisan name-calling ('inbred klansman') but no support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling ('inbred klansman').,2,Partisan name-calling ('inbred klansman').,2,Partisan name-calling ('inbred klansman').,2,Emotion/exaggeration ('serial rapist').,A
1024,512,gpt-4o-2024-08-06,reply,"@akafacehots Donald Trump is a serial rapist, you inbred klansman.",16,2026-03-16 17:12:14,20260316_1530,3,Partisan name-calling ('inbred klansman') and emotion/exaggeration ('serial rapist').,2,Partisan name-calling ('inbred klansman').,2,Partisan name-calling ('inbred klansman').,1,No support for undemocratic candidates or behavior.,2,Partisan name-calling ('inbred klansman').,2,Partisan name-calling ('inbred klansman').,2,Partisan name-calling ('inbred klansman').,2,Emotion/exaggeration ('serial rapist').,B
1025,513,gpt-4o-2024-08-06,tweet,"I can only assume that the reason Team MAGA bullied @ThisIsKyleR for taking a firm stand on the 2nd Amendment is because that's what cults do when you criticize the supreme leader.  

Kyle took the moral position, they condemned him for it and when he jumped back on the Trump",15,2026-03-16 17:12:21,20260316_1530,3,"Partisan name-calling ('Team MAGA', 'cults') and emotion/exaggeration ('supreme leader').",2,"Emotion/exaggeration ('cults', 'supreme leader') but no direct support for undemocratic practices.",1,No support for partisan violence.,1,No support for undemocratic candidates.,2,"Emotion/exaggeration ('cults', 'supreme leader') but no direct opposition to bipartisanship.",2,"Emotion/exaggeration ('cults', 'supreme leader') but no direct social distrust.",2,Terms that increase distrust ('cults') but no events that damage communities.,2,"Emotion/exaggeration ('cults', 'supreme leader') but no biased evaluation of politicized facts.",A
1026,513,gpt-4o-2024-08-06,tweet,"I can only assume that the reason Team MAGA bullied @ThisIsKyleR for taking a firm stand on the 2nd Amendment is because that's what cults do when you criticize the supreme leader.  

Kyle took the moral position, they condemned him for it and when he jumped back on the Trump",18,2026-03-16 17:12:26,20260316_1530,3,"Partisan name-calling ('Team MAGA', 'cults') and emotion/exaggeration ('supreme leader').",2,"Emotion/exaggeration ('cults', 'supreme leader') but no support for undemocratic practices.",2,"Emotion/exaggeration ('bullied', 'cults') but no support for partisan violence.",1,No support for undemocratic candidates or related name-calling.,3,Name-calling ('cults') and emotion/exaggeration ('supreme leader').,3,Name-calling ('cults') and emotion/exaggeration ('supreme leader').,2,Terms that increase distrust ('cults') but no events that damage communities.,2,"Emotion/exaggeration ('cults', 'supreme leader') but no factual distortion.",B
1027,514,gpt-4o-2024-08-06,reply,"@joshtpm family in GA, Atlanta burbs not the same GOP as outside metro, they despise 45 and no ads will make it better, they are embarrassed",10,2026-03-16 17:12:33,20260316_1530,2,The tweet uses emotion by stating 'despise 45' and 'embarrassed'.,1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates.,1,There is no opposition to bipartisanship or related name-calling.,1,There is no social distrust or related name-calling.,2,The tweet expresses social distance by stating 'despise 45' and 'embarrassed'.,1,There is no biased evaluation of politicized facts.,A
1028,514,gpt-4o-2024-08-06,reply,"@joshtpm family in GA, Atlanta burbs not the same GOP as outside metro, they despise 45 and no ads will make it better, they are embarrassed",10,2026-03-16 17:12:38,20260316_1530,2,Emotion or exaggeration is present with 'despise' and 'embarrassed'.,1,No support for undemocratic practices or name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates.,1,No name-calling or exaggeration reducing trust.,2,Emotion or exaggeration with 'despise' and 'embarrassed'.,1,No terms increasing distrust or events damaging communities.,1,No partisan distortion of factual claims.,B
1029,515,gpt-4o-2024-08-06,reply,"Trump's Chief of Staff aide Cassidy Hutchinson: 

""I think that Donald Trump is the most grave threat to our democracy in our lifetime, and potentially in American history.”",9,2026-03-16 17:12:42,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates is expressed.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No language indicating social distance or related factors.,2,"Presents a politicized opinion about Trump as a threat to democracy, indicating a partisan stance.",A
1030,515,gpt-4o-2024-08-06,reply,"Trump's Chief of Staff aide Cassidy Hutchinson: 

""I think that Donald Trump is the most grave threat to our democracy in our lifetime, and potentially in American history.”",9,2026-03-16 17:12:46,20260316_1530,1,No partisan name-calling or emotional exaggeration directed at opposing party members.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,2,Criticism of Trump as a threat to democracy suggests opposition to undemocratic behavior.,1,No rejection of cross-party cooperation or emotional exaggeration.,1,No generalized interpersonal suspicion or emotional exaggeration.,1,No terms that increase distrust or events that damage communities.,1,No partisan distortion of factual claims or emotional exaggeration.,B
1031,516,gpt-4o-2024-08-06,reply,@KathyCo15670612 @remzchief @Alexis01271714 @lemonzesthebs @Rickety_Crikt @Dani_Neider @EnithTea @_celia_bedelia_ She's Muslim in a conservative Muslim country. Trans is illegal in Algeria. There is no way the government would allow one to represent the country at the Olympics. Like 0% chance,9,2026-03-16 17:12:51,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,2,"Mentions legal and societal restrictions in Algeria, indicating social distance.",1,No biased evaluation of politicized facts or related language present.,A
1032,516,gpt-4o-2024-08-06,reply,@KathyCo15670612 @remzchief @Alexis01271714 @lemonzesthebs @Rickety_Crikt @Dani_Neider @EnithTea @_celia_bedelia_ She's Muslim in a conservative Muslim country. Trans is illegal in Algeria. There is no way the government would allow one to represent the country at the Olympics. Like 0% chance,8,2026-03-16 17:12:56,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or partisan name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
1033,517,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Trump is a Maga LIAR,15,2026-03-16 17:13:01,20260316_1530,3,Partisan name-calling ('Maga LIAR') and emotion ('LIAR') exist.,2,"Partisan name-calling ('Maga LIAR') exists, but no support for undemocratic practices.",1,No support for partisan violence or related factors.,1,No support for undemocratic candidates or related factors.,2,Partisan name-calling ('Maga LIAR') reduces trust.,2,Partisan name-calling ('Maga LIAR') reduces trust.,2,Partisan name-calling ('Maga LIAR') increases distance.,2,Partisan name-calling ('Maga LIAR') shows emotion.,A
1034,517,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Trump is a Maga LIAR,15,2026-03-16 17:13:07,20260316_1530,2,Partisan name-calling with 'Maga LIAR'.,2,Partisan name-calling with 'Maga LIAR'.,2,Partisan name-calling with 'Maga LIAR'.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'Maga LIAR'.,2,Partisan name-calling with 'Maga LIAR'.,2,Partisan name-calling with 'Maga LIAR'.,2,Partisan name-calling with 'Maga LIAR'.,B
1035,518,gpt-4o-2024-08-06,reply,"@ProjectLincoln Why don't you want people to listen for themselves? We know why. So you can create narratives &amp; spew Goebbels level propaganda. 

The Lincoln Project is a propaganda outlet. 
Their member even called for the assassination of Trump. https://t.co/qJeb59o75I",19,2026-03-16 17:13:18,20260316_1530,3,Partisan name-calling ('propaganda outlet') and emotion/exaggeration ('Goebbels level propaganda').,2,Emotion/exaggeration ('Goebbels level propaganda') but no direct support for undemocratic practices.,2,Emotion/exaggeration ('Goebbels level propaganda') but no direct support for partisan violence.,1,Does not show support for undemocratic candidates.,3,Name-calling ('propaganda outlet') and emotion/exaggeration ('Goebbels level propaganda').,3,Name-calling ('propaganda outlet') and emotion/exaggeration ('Goebbels level propaganda').,2,Terms that increase distrust ('propaganda outlet') but no events that damage communities.,3,Presents a biased evaluation ('propaganda outlet') and uses emotion/exaggeration ('Goebbels level propaganda').,A
1036,518,gpt-4o-2024-08-06,reply,"@ProjectLincoln Why don't you want people to listen for themselves? We know why. So you can create narratives &amp; spew Goebbels level propaganda. 

The Lincoln Project is a propaganda outlet. 
Their member even called for the assassination of Trump. https://t.co/qJeb59o75I",16,2026-03-16 17:13:23,20260316_1530,2,The tweet uses emotion and exaggeration by comparing The Lincoln Project to 'Goebbels level propaganda'.,2,The tweet uses emotion and exaggeration with 'Goebbels level propaganda' but does not show support for undemocratic practices.,2,"The tweet mentions a member calling for assassination, which is an exaggeration, but does not show support for partisan violence.",1,The tweet does not show support for undemocratic candidates.,2,"The tweet uses emotion and exaggeration, reducing trust in The Lincoln Project.",2,"The tweet uses emotion and exaggeration, reducing trust in The Lincoln Project.",2,"The tweet uses terms that increase distrust and emotion, but not events that damage communities.",3,The tweet distorts factual claims by labeling The Lincoln Project as a 'propaganda outlet' and uses exaggeration.,B
1037,519,gpt-4o-2024-08-06,reply,"@_wake_up_USA My response will be controversial. Bill Clinton was actually a smart President! Do you know in his second term, he and the Republican Congress balanced the budget, cut welfare and food stamps etc big time! Made many other real Conservative moves! His downfall? Being married to a",9,2026-03-16 17:13:27,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,Presents a controversial evaluation of Bill Clinton's presidency with a partisan stance.,A
1038,519,gpt-4o-2024-08-06,reply,"@_wake_up_USA My response will be controversial. Bill Clinton was actually a smart President! Do you know in his second term, he and the Republican Congress balanced the budget, cut welfare and food stamps etc big time! Made many other real Conservative moves! His downfall? Being married to a",8,2026-03-16 17:13:32,20260316_1530,1,No negative affect or name-calling towards opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates.,1,No rejection of cross-party cooperation; mentions bipartisan achievements.,1,No generalized interpersonal suspicion expressed.,1,No preference for limiting contact with opposing party members.,1,No distortion of factual claims; presents historical bipartisan cooperation.,B
1039,520,gpt-4o-2024-08-06,tweet,"“Americans are more dangerous than Putin” - Donald Trump

wtf",12,2026-03-16 17:13:37,20260316_1530,2,The tweet includes emotion or exaggeration with 'wtf'.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,2,The phrase 'Americans are more dangerous' suggests social distrust.,2,The phrase 'Americans are more dangerous' suggests social distance.,2,The statement presents a controversial issue with a partisan stance.,A
1040,520,gpt-4o-2024-08-06,tweet,"“Americans are more dangerous than Putin” - Donald Trump

wtf",9,2026-03-16 17:13:42,20260316_1530,2,The tweet includes emotion or exaggeration with 'wtf'.,1,There is no endorsement of norm-violating conduct.,1,There is no acceptance of political aggression.,1,There is no tolerance of authoritarian candidates.,1,There is no rejection of cross-party cooperation.,1,There is no generalized interpersonal suspicion.,1,There is no outparty avoidance.,1,There is no partisan distortion of factual claims.,B
1041,521,gpt-4o-2024-08-06,reply,"@Manhattva I don’t hate anybody. I do, however, think these two are huge losers and the worst the GOP has to offer. Well, after the diddlers like Matt Gaetz.",14,2026-03-16 17:13:47,20260316_1530,3,"Partisan name-calling ('huge losers', 'worst the GOP has to offer') and emotion/exaggeration ('worst', 'diddlers').",2,"Partisan name-calling ('huge losers', 'diddlers') but no support for undemocratic practices.",1,No support for partisan violence.,1,No support for undemocratic candidates.,2,"Partisan name-calling ('huge losers', 'worst the GOP has to offer').",2,"Partisan name-calling ('huge losers', 'diddlers').",2,"Terms that increase distrust ('huge losers', 'diddlers').",1,No biased evaluation of politicized facts.,A
1042,521,gpt-4o-2024-08-06,reply,"@Manhattva I don’t hate anybody. I do, however, think these two are huge losers and the worst the GOP has to offer. Well, after the diddlers like Matt Gaetz.",15,2026-03-16 17:13:53,20260316_1530,3,"Partisan name-calling ('huge losers', 'worst the GOP has to offer') and emotion ('diddlers like Matt Gaetz').",2,"Emotion or exaggeration ('huge losers', 'worst the GOP has to offer').",2,"Partisan name-calling ('huge losers', 'diddlers like Matt Gaetz').",1,Does not show support for undemocratic candidates.,2,"Emotion or exaggeration ('huge losers', 'worst the GOP has to offer').",2,"Emotion or exaggeration ('huge losers', 'worst the GOP has to offer').",2,"Terms that increase distrust ('huge losers', 'worst the GOP has to offer').",1,Does not present political facts or discuss controversial issues with a partisan stance.,B
1043,522,gpt-4o-2024-08-06,quote,Trump and his campaign BEGGED Melania to speak at the RNC last month to show that she loves and supports Donald and she refused. Yet another Trump senior advisor who doesn't support him.,10,2026-03-16 17:14:00,20260316_1530,2,The tweet uses emotion or exaggeration by stating 'BEGGED' and implies dislike for Trump.,1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship expressed in the tweet.,1,The tweet does not express social distrust.,1,There is no language that increases social distance in the tweet.,2,The tweet presents a biased evaluation of facts by implying Melania's refusal is significant.,A
1044,522,gpt-4o-2024-08-06,quote,Trump and his campaign BEGGED Melania to speak at the RNC last month to show that she loves and supports Donald and she refused. Yet another Trump senior advisor who doesn't support him.,8,2026-03-16 17:14:05,20260316_1530,1,No partisan name-calling or emotional exaggeration directed at opposing party members.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional exaggeration.,1,No generalized interpersonal suspicion or emotional exaggeration.,1,No terms that increase distrust or emotional exaggeration.,1,No partisan distortion of factual claims or emotional exaggeration.,B
1045,523,gpt-4o-2024-08-06,tweet,"Former President Barack Obama made fun of Donald Trump's ""weird obsession"" with crowd sizes. https://t.co/CaFRDY2UJ5",10,2026-03-16 17:14:11,20260316_1530,2,The tweet includes emotion or exaggeration by mentioning 'weird obsession'.,1,The tweet does not show support for undemocratic practices or include partisan name-calling.,1,The tweet does not show support for partisan violence or include partisan name-calling.,1,The tweet does not show support for undemocratic candidates or include partisan name-calling.,1,The tweet does not oppose bipartisanship or include name-calling.,1,The tweet does not express social distrust or include name-calling.,1,The tweet does not express social distance or include terms that increase distrust.,2,The tweet presents a partisan stance by highlighting Obama's criticism of Trump.,A
1046,523,gpt-4o-2024-08-06,tweet,"Former President Barack Obama made fun of Donald Trump's ""weird obsession"" with crowd sizes. https://t.co/CaFRDY2UJ5",9,2026-03-16 17:14:17,20260316_1530,2,The tweet includes emotion or exaggeration by mentioning 'weird obsession'.,1,There is no endorsement of norm-violating conduct or partisan name-calling.,1,There is no acceptance of political aggression or partisan name-calling.,1,There is no support for undemocratic candidates or partisan name-calling.,1,There is no rejection of cross-party cooperation or emotion/exaggeration related to cooperation.,1,There is no generalized interpersonal suspicion or emotion/exaggeration related to suspicion.,1,There is no outparty avoidance or terms that increase distrust or distance.,1,There is no partisan distortion of factual claims or emotion/exaggeration related to factual claims.,B
1047,524,gpt-4o-2024-08-06,quote,"@DonaldJTrumpJr How many teens in horrific car accidents or other life-threatening emergencies will die because the ER can't perform surgery until they've identified the victim and their parents?

The GOP will let Americans die to push their anti-LGBT propaganda.",16,2026-03-16 17:14:23,20260316_1530,3,Partisan name-calling ('The GOP') and emotion/exaggeration ('let Americans die').,2,Emotion/exaggeration ('let Americans die') but no direct support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,3,Partisan name-calling ('The GOP') and emotion/exaggeration ('let Americans die').,2,Emotion/exaggeration ('let Americans die').,2,Terms that increase distrust ('anti-LGBT propaganda').,2,Emotion/exaggeration ('let Americans die') but no specific politicized facts.,A
1048,524,gpt-4o-2024-08-06,quote,"@DonaldJTrumpJr How many teens in horrific car accidents or other life-threatening emergencies will die because the ER can't perform surgery until they've identified the victim and their parents?

The GOP will let Americans die to push their anti-LGBT propaganda.",17,2026-03-16 17:14:29,20260316_1530,3,Partisan name-calling ('The GOP') and emotion/exaggeration ('let Americans die').,2,Emotion/exaggeration ('let Americans die') without explicit support for undemocratic practices.,1,No support for partisan violence or aggression.,1,No mention of support for authoritarian candidates.,3,Partisan name-calling ('The GOP') and emotion/exaggeration ('let Americans die').,3,Partisan name-calling ('The GOP') and emotion/exaggeration ('let Americans die').,2,Terms that increase distrust ('The GOP will let Americans die').,2,Emotion/exaggeration ('let Americans die') without factual basis.,B
1049,525,gpt-4o-2024-08-06,reply,"@scrumble_eggs - wears SS pin
- Says they ""LEAN right""

That just about sums up how far right the overton window has gone here in the US.

But if you talk to MAGA, they'd say we're basically communists https://t.co/9h9WNQIo3a",13,2026-03-16 17:14:35,20260316_1530,2,The tweet uses emotion or exaggeration by implying extreme political shifts and contrasts between far-right and communism.,1,There is no support for undemocratic practices or related name-calling in the tweet.,1,There is no support for partisan violence or related name-calling in the tweet.,1,There is no support for undemocratic candidates or related name-calling in the tweet.,2,The tweet uses emotion or exaggeration by discussing extreme political shifts and contrasts.,2,The tweet uses emotion or exaggeration by implying distrust in political discourse.,2,The tweet implies distrust and distance by discussing extreme political shifts and contrasts.,2,The tweet presents a partisan stance by discussing the Overton window and political extremes.,A
1050,525,gpt-4o-2024-08-06,reply,"@scrumble_eggs - wears SS pin
- Says they ""LEAN right""

That just about sums up how far right the overton window has gone here in the US.

But if you talk to MAGA, they'd say we're basically communists https://t.co/9h9WNQIo3a",12,2026-03-16 17:14:42,20260316_1530,2,The tweet uses emotion or exaggeration by implying extreme political shifts and mentions MAGA in a negative context.,1,There is no endorsement of norm-violating conduct or name-calling.,1,There is no support for partisan violence or name-calling.,1,There is no support for undemocratic candidates.,2,The tweet uses emotion or exaggeration by discussing the Overton window shift.,2,The tweet uses emotion or exaggeration by implying a significant political shift.,1,There is no language indicating outparty avoidance.,2,The tweet partially presents political facts with a partisan stance by discussing the Overton window and MAGA.,B
1051,526,gpt-4o-2024-08-06,reply,"@JoshuaPHilll That's moronic logic. Bibi went to Mar-a-Lago after his Congressional address.

Any effort not to defeat Donald Trump hurts Palestine.

Notice nobody protested the GOP convention?

Which party is worse for Palestine?

Bibi and Trump need each other to stay out of prison",13,2026-03-16 17:14:49,20260316_1530,2,The tweet uses partisan name-calling ('moronic logic') and shows emotion or exaggeration ('Bibi and Trump need each other to stay out of prison').,1,The tweet does not show support for undemocratic practices or contain partisan name-calling related to undemocratic practices.,1,The tweet does not show support for partisan violence or contain related name-calling or exaggeration.,1,The tweet does not show support for undemocratic candidates.,2,The tweet contains emotion or exaggeration ('Bibi and Trump need each other to stay out of prison').,2,The tweet contains emotion or exaggeration ('Bibi and Trump need each other to stay out of prison').,2,The tweet uses terms that increase distrust ('moronic logic') and shows emotion or exaggeration.,2,The tweet presents a biased evaluation of politicized facts ('Which party is worse for Palestine?').,A
1052,526,gpt-4o-2024-08-06,reply,"@JoshuaPHilll That's moronic logic. Bibi went to Mar-a-Lago after his Congressional address.

Any effort not to defeat Donald Trump hurts Palestine.

Notice nobody protested the GOP convention?

Which party is worse for Palestine?

Bibi and Trump need each other to stay out of prison",13,2026-03-16 17:14:55,20260316_1530,2,Emotion or exaggeration is present in 'moronic logic' and 'need each other to stay out of prison'.,2,Emotion or exaggeration is present in 'moronic logic' and 'need each other to stay out of prison'.,1,No support for partisan violence or aggression is present.,1,No support for undemocratic candidates is present.,2,Emotion or exaggeration is present in 'moronic logic' and 'need each other to stay out of prison'.,2,Emotion or exaggeration is present in 'moronic logic' and 'need each other to stay out of prison'.,1,No terms that increase distrust or avoidance are present.,2,Emotion or exaggeration is present in 'moronic logic' and 'need each other to stay out of prison'.,B
1053,527,gpt-4o-2024-08-06,quote,"Heck, and Donald Trump can’t even buy cereals without his grocery ID!!!
🙄🙄🙄",12,2026-03-16 17:15:01,20260316_1530,2,The tweet uses exaggeration with 'can't even buy cereals' and sarcasm with 'grocery ID'.,1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates or related name-calling.,2,"The tweet uses sarcasm and exaggeration, reducing trust.",2,"The tweet uses sarcasm and exaggeration, which can reduce trust.",1,There is no language that increases social distance or distrust.,2,"The tweet uses exaggeration and sarcasm, indicating a biased evaluation of facts.",A
1054,527,gpt-4o-2024-08-06,quote,"Heck, and Donald Trump can’t even buy cereals without his grocery ID!!!
🙄🙄🙄",13,2026-03-16 17:15:07,20260316_1530,2,The tweet uses exaggeration with 'can't even buy cereals' and sarcasm with 'grocery ID'.,2,"The tweet uses exaggeration and sarcasm, but does not endorse undemocratic practices.",1,There is no support for partisan violence or aggression.,1,There is no support for undemocratic candidates.,2,"The tweet uses sarcasm and exaggeration, which can reduce trust.",2,"The tweet uses sarcasm and exaggeration, which can reduce trust.",1,There is no language indicating outparty avoidance.,2,"The tweet uses exaggeration and sarcasm, which can distort factual claims.",B
1055,528,gpt-4o-2024-08-06,tweet,"Every stupid MAGA in my mentions has the same stupid bio, ""Patriot, Christian, deplorable, 2A, blah, blah"" . At least be somewhat original, how about a hate omelette with a side of racist potatoes?",16,2026-03-16 17:15:14,20260316_1530,3,Partisan name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,2,Partisan name-calling ('stupid MAGA') but no support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,3,Name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,3,Name-calling ('stupid MAGA') and emotion/exaggeration ('hate omelette with a side of racist potatoes').,2,Terms that increase distrust and distance ('stupid MAGA').,1,No biased evaluation of politicized facts.,A
